,Count,Count,Count,Count,Count,Count,Count,Count,Count
Document,Britain and the world,Business Environment,Foreword from the Prime Minister,Grand Challenges,Ideas,Infrastructure,Introduction,People,Places
Word,,,,,,,,,
aberdeen city,0,0,0,0,0,0,0,0,1
aberdeen february,0,0,0,0,0,0,0,0,1
aberdeen harbour,0,0,0,0,0,0,0,0,1
aberdeen industry,0,0,0,0,0,0,0,0,1
aberdeen tees,0,1,0,0,0,0,0,0,0
aberdeenshire bristol,0,0,0,0,0,1,0,0,0
abertay video,0,0,0,0,1,0,0,0,0
ability analyse,0,0,0,0,1,0,0,0,0
ability export,0,0,0,0,1,0,0,0,0
ability innovate,0,0,0,0,3,0,0,0,0
ability keep,0,1,0,0,0,0,0,0,0
ability meet,0,0,0,1,0,0,0,0,0
ability perform,0,0,0,1,0,0,0,0,0
ability transfer,0,0,0,0,0,0,0,1,0
ability turn,0,0,0,0,1,0,0,0,0
ability use,0,0,0,1,0,0,0,0,0
able achieve,0,0,0,0,0,0,1,0,0
able capitalise,0,0,0,1,0,0,0,0,0
able capture,0,0,0,0,1,0,0,0,0
able contribute,0,0,0,0,0,0,0,0,1
able deal,0,1,0,0,0,0,0,0,0
able demonstrate,0,0,0,0,0,0,0,0,1
able drive,0,0,0,1,0,0,0,0,0
able go,0,0,0,0,0,0,0,1,0
able implement,0,0,0,0,0,0,0,1,0
able lead,0,0,0,1,0,0,1,0,0
able plan,0,0,0,1,0,0,0,0,0
able progressively,0,1,0,0,0,0,0,0,0
able pursue,0,0,0,0,0,1,0,0,0
able reap,0,0,0,0,0,0,1,0,0
able rockets,0,0,0,0,1,0,0,0,0
able technological,0,0,0,0,0,0,0,1,0
able test,0,1,0,0,0,0,0,0,0
able use,0,0,0,0,0,0,0,1,0
able work,0,0,0,0,0,0,0,1,0
abolition tolls,0,0,0,0,0,0,0,0,1
abroad half,0,0,0,0,1,0,0,0,0
abroad make,0,1,0,0,0,0,0,0,0
abroad must,0,0,0,0,1,0,0,0,0
abroad notably,0,0,0,0,0,0,1,0,0
absorb advances,0,0,0,0,1,0,0,0,0
abstract happens,0,0,0,0,0,0,0,0,1
academia act,0,0,0,1,0,0,0,0,0
academia bodies,0,0,0,1,0,0,0,0,0
academia civil,0,0,0,2,0,0,1,0,0
academia government,0,1,0,1,0,0,0,0,0
academia public,0,0,0,0,1,0,0,0,0
academic disciplines,0,0,0,1,0,0,0,0,0
academic education,0,0,0,0,0,0,0,2,0
academic excellence,0,0,0,1,0,0,0,0,0
academic player,0,0,0,0,0,0,1,0,0
academic sector,0,1,0,0,0,0,0,0,0
academic success,0,0,0,0,0,0,0,1,0
academic system,0,0,0,0,0,0,0,1,0
academic technical,0,0,0,0,0,0,0,1,0
academics across,0,0,0,0,0,0,1,0,0
academics research,0,1,0,0,0,0,0,0,0
academics stakeholders,0,0,0,0,0,0,1,0,0
academies considering,0,0,0,0,1,0,0,0,0
academies identify,0,0,0,1,0,0,0,0,0
academy award,0,0,0,0,1,0,0,0,0
academy encourage,0,0,0,0,0,0,0,1,0
accelerate change,0,1,0,0,0,0,0,0,0
accelerate clean,0,0,0,0,1,0,0,0,0
accelerate course,0,0,0,0,0,0,1,0,0
accelerate creation,0,0,0,0,0,1,0,0,0
accelerate development,0,0,0,2,0,0,0,0,0
accelerate exchange,0,0,0,0,1,0,0,0,0
accelerate global,0,0,0,0,0,2,0,0,0
accelerate private,0,0,0,0,0,1,0,0,0
accelerate progress,0,0,0,1,0,0,0,0,0
accelerate uptake,0,0,0,1,0,0,0,0,0
accelerated degrees,0,0,0,0,0,0,0,2,0
accelerated roll,0,0,0,0,0,1,0,0,0
accelerating development,0,1,0,0,0,0,0,0,0
accelerating path,0,0,0,0,1,0,0,0,0
accept matthew,0,0,0,0,0,0,0,1,0
accept share,0,0,0,0,0,0,1,0,0
accepting work,0,0,0,0,0,0,1,0,0
access also,0,0,0,0,0,0,0,0,1
access apprenticeships,0,0,0,0,0,0,0,1,0
access assured,0,2,0,0,0,0,0,0,0
access best,0,1,0,0,0,0,0,0,0
access capital,0,1,0,0,0,0,0,0,0
access debt,0,1,0,0,0,0,0,0,0
access deep,0,1,0,0,0,0,0,0,0
access enjoy,0,0,0,0,0,0,0,2,0
access finance,0,5,0,0,1,0,0,0,0
access global,0,0,0,0,0,2,0,0,0
access high,0,0,0,1,0,0,0,0,0
access industrial,0,0,0,0,0,0,0,0,1
access information,0,0,0,0,0,0,0,1,0
