,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count
Document,Britain and the world,Business Environment,Chapter,Foreword from the Prime Minister,Grand Challenges,Ideas,Infrastructure,Introduction,People,Places
Word,,,,,,,,,,
Content,0,0,1,0,0,0,0,0,0,0
aberdeen,0,1,0,0,0,0,0,0,0,4
aberdeenshire,0,0,0,0,0,0,1,0,0,0
abertay,0,0,0,0,0,1,0,0,0,0
ability,0,1,0,0,3,6,0,0,1,0
able,0,3,0,0,4,2,1,3,5,2
abolition,0,0,0,0,0,0,0,0,0,1
abroad,0,1,0,0,0,2,0,1,0,0
absorb,0,0,0,0,0,1,0,0,0,0
abstract,0,0,0,0,0,0,0,0,0,1
academia,0,1,0,0,5,1,0,1,0,0
academic,0,1,0,0,2,0,0,1,5,0
academics,0,1,0,0,0,0,0,2,0,0
academies,0,0,0,0,1,1,0,0,0,0
academy,0,0,0,0,0,1,0,0,1,0
accelerate,0,1,0,0,4,2,4,1,0,0
accelerated,0,0,0,0,0,0,1,0,2,0
accelerating,0,1,0,0,0,1,0,0,0,0
accept,0,0,0,0,0,0,0,1,1,0
accepting,0,0,0,0,0,0,0,1,0,0
access,0,20,0,0,2,4,11,2,7,3
accessibility,0,0,0,0,0,0,0,0,1,0
accessible,0,0,0,0,0,1,2,0,3,0
accessing,0,1,0,0,0,0,0,0,0,0
accommodate,0,1,0,0,1,0,1,0,0,1
accommodation,0,0,0,0,0,0,1,0,0,0
accompanied,0,0,0,0,0,0,0,1,0,0
accomplished,0,0,0,0,0,0,0,0,1,0
according,0,1,0,0,0,1,0,0,1,0
account,0,4,0,0,0,2,3,1,2,2
accountability,0,0,0,0,0,0,0,0,1,1
accountancy,0,1,0,0,0,0,0,0,0,0
accounted,0,0,0,0,0,0,0,0,1,0
accounting,0,1,0,0,0,1,0,0,0,0
accounts,0,4,0,0,0,0,0,2,0,0
accreditation,0,0,0,0,0,0,0,0,1,0
accrediting,0,0,0,0,0,0,0,0,1,0
aceaqui,0,0,0,0,0,0,0,1,0,0
achievable,0,2,0,0,0,0,0,0,0,0
achieve,0,3,0,0,2,1,2,6,6,0
achieved,0,4,0,2,0,0,1,1,3,0
achievement,0,0,0,0,1,0,0,0,3,0
achievements,0,0,0,1,0,0,0,0,0,1
achieving,0,0,0,1,0,0,1,0,1,0
acknowledge,0,0,0,0,0,0,0,1,0,0
acre,0,0,0,0,0,0,0,0,0,1
across,4,25,0,2,21,17,24,14,25,38
act,0,3,0,0,2,2,4,1,3,0
acting,0,3,0,0,0,0,1,0,0,1
action,1,5,0,0,5,0,3,2,8,1
actions,0,2,0,1,1,0,0,3,3,1
active,2,3,0,0,1,1,0,0,1,0
actively,0,0,0,0,1,0,2,0,0,0
activities,0,3,0,0,0,2,1,0,1,1
activity,0,1,0,0,0,2,0,0,0,1
actors,0,0,0,0,0,0,0,0,1,0
acute,0,0,0,0,0,0,0,0,1,0
acutely,0,0,0,0,0,0,0,1,0,0
ad,0,0,0,0,0,0,0,1,0,0
ada,0,0,0,0,0,1,0,0,1,0
adapt,0,0,0,0,4,0,2,2,2,0
adapting,0,0,0,0,1,1,0,0,0,0
adapts,0,0,0,0,0,0,0,0,2,1
add,0,1,0,0,2,0,0,0,0,0
added,0,2,0,0,0,0,0,1,0,0
adding,0,2,0,0,0,0,1,0,0,0
addition,0,0,0,0,0,1,6,0,0,2
additional,0,4,0,0,3,4,6,1,4,6
additive,0,1,0,0,0,0,0,0,0,0
address,1,5,0,2,2,5,4,2,5,2
addressing,1,0,0,0,0,0,0,6,3,4
adds,0,0,0,0,0,0,0,0,1,0
adic,0,0,0,0,0,0,0,1,0,0
