,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count
Document,Britain and the world,Business Environment,Chapter,Foreword from the Prime Minister,Grand Challenges,Ideas,Infrastructure,Introduction,People,Places
Word,,,,,,,,,,
Content,0.0,0.0,2.302585092994046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aberdeen,0.0,0.0002531358780173168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018185739123549156
aberdeenshire,0.0,0.0,0.0,0.0,0.0,0.0,0.00043717203208544633,0.0,0.0,0.0
abertay,0.0,0.0,0.0,0.0,0.0,0.0005059514596778831,0.0,0.0,0.0,0.0
ability,0.0,0.00014411618934793253,0.0,0.0,0.0006964459578470902,0.0012080299695110812,0.0,0.0,0.0001888480486137995,0.0
able,0.0,0.00016829582129855255,0.0,0.0,0.00036146434653025835,0.00015674574552350357,6.771880462098584e-05,0.00047556659191830985,0.00036755455888162856,0.0002015112677619957
abolition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006504477663824989
abroad,0.0,0.0001893634483054319,0.0,0.0,0.0,0.0005291025288182537,0.0,0.0005350990241448605,0.0,0.0
absorb,0.0,0.0,0.0,0.0,0.0,0.0005059514596778831,0.0,0.0,0.0,0.0
abstract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006504477663824989
academia,0.0,0.00014411618934793253,0.0,0.0,0.0011607432630784838,0.0002013383282518469,0.0,0.0004072403252774023,0.0,0.0
academic,0.0,0.00014411618934793253,0.0,0.0,0.00046429730523139356,0.0,0.0,0.0004072403252774023,0.0009442402430689974,0.0
academics,0.0,0.0002531358780173168,0.0,0.0,0.0,0.0,0.0,0.0014306114777192004,0.0,0.0
academies,0.0,0.0,0.0,0.0,0.0004077623289673424,0.00035364489396486493,0.0,0.0,0.0,0.0
academy,0.0,0.0,0.0,0.0,0.0,0.00035364489396486493,0.0,0.0,0.00033170608252969914,0.0
accelerate,0.0,0.00010901968866938428,0.0,0.0,0.0007024547054065826,0.0003046131314260362,0.000526407579692383,0.0003080654135821979,0.0,0.0
accelerated,0.0,0.0,0.0,0.0,0.0,0.0,0.0003055701371623505,0.0,0.0006634121650593983,0.0
accelerating,0.0,0.0002531358780173168,0.0,0.0,0.0,0.00035364489396486493,0.0,0.0,0.0,0.0
accept,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007153057388596002,0.00033170608252969914,0.0
accepting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010233711524417982,0.0,0.0
access,0.0,0.0011219721419903504,0.0,0.0,0.00018073217326512918,0.00031349149104700714,0.0007449068508308442,0.00031704439461220657,0.0005145763824342801,0.00030226690164299354
accessibility,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004745641164455989,0.0
accessible,0.0,0.0,0.0,0.0,0.0,0.00026455126440912683,0.0004571759272169873,0.0,0.0007444184692864403,0.0
accessing,0.0,0.0003621555666867011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accommodate,0.0,0.00014411618934793253,0.0,0.0,0.00023214865261569678,0.0,0.00017396824223925482,0.0,0.0,0.00025883918979495907
accommodation,0.0,0.0,0.0,0.0,0.0,0.0,0.00043717203208544633,0.0,0.0,0.0
accompanied,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010233711524417982,0.0,0.0
accomplished,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004745641164455989,0.0
according,0.0,0.0001893634483054319,0.0,0.0,0.0,0.00026455126440912683,0.0,0.0,0.0002481394897621468,0.0
